Sl No.,Invoice ID,Grand Total
1,FZ000007939,2596
2,FZ000007940,142
3,FZ000007941,2144
4,FZ000007942,1539
5,FZ000007943,1062
6,FZ000007944,979
7,FZ000007945,478
8,FZ000007946,572
9,FZ000007947,2465
10,FZ000007948,2331
11,FZ000007949,1911
12,FZ000007950,556
13,FZ000007951,1813
14,FZ000007952,2851
15,FZ000007953,2085
16,FZ000007954,1148
17,FZ000007955,2371
18,FZ000007956,741
19,FZ000007957,1088
20,FZ000007958,519
21,FZ000007959,910
22,FZ000007960,1795
23,FZ000007961,1114
24,FZ000007962,638
25,FZ000007963,946
26,FZ000007964,1410
27,FZ000007965,4443
28,FZ000007966,2825
29,FZ000007967,921
30,FZ000007968,2367
31,FZ000007969,679
32,FZ000007970,791
33,FZ000007971,1094
34,FZ000007972,1500
35,FZ000007973,1784
36,FZ000007974,1639
37,FZ000007975,1700
38,FZ000007976,922
39,FZ000007977,2190
40,FZ000007978,624
41,FZ000007979,790
42,FZ000007980,2940
43,FZ000007981,2847
44,FZ000007982,1270
45,FZ000007983,1871
46,FZ000007984,1843
47,FZ000007985,800
48,FZ000007986,772
49,FZ000007987,886
50,FZ000007988,715
51,FZ000007989,1134
52,FZ000007990,1917
53,FZ000007991,735
54,FZ000007992,2280
55,FZ000007993,3258
56,FZ000007994,662
57,FZ000007995,1196
58,FZ000007996,845
59,FZ000007997,2789
60,FZ000007998,1500
61,FZ000007999,1403
62,FZ000008000,1383
63,FZ000008001,4893
64,FZ000008002,942
65,FZ000008003,2319
66,FZ000008004,1957
67,FZ000008005,1049
68,FZ000008006,1041
69,FZ000008007,2984
70,FZ000008008,1150
71,FZ000008009,716
72,FZ000008010,3894
73,FZ000008011,1996
74,FZ000008012,4204
75,FZ000008013,1567
76,FZ000008014,586
77,FZ000008015,1201
78,FZ000008016,1645
79,FZ000008017,1578
80,FZ000008018,735
81,FZ000008019,1905
82,FZ000008020,532
83,FZ000008021,886
84,FZ000008022,2005
85,FZ000008023,586
86,FZ000008024,3425
87,FZ000008025,821
88,FZ000008026,1185
89,FZ000008027,1386
90,FZ000008028,1252
91,FZ000008029,1941
92,FZ000008030,522
93,FZ000008031,866
94,FZ000008032,610
95,FZ000008033,916
96,FZ000008034,1805
97,FZ000008035,2504
98,FZ000008036,1076
99,FZ000008037,1558
100,FZ000008038,125
101,FZ000008039,250
102,FZ000008040,505
103,FZ000008041,786
104,FZ000008042,1760
105,FZ000008043,708
106,FZ000008044,1357
107,FZ000008045,1315
108,FZ000008046,1554
109,FZ000008047,1566
110,FZ000008048,1880
111,FZ000008049,1288
112,FZ000008050,912
113,FZ000008051,524
114,FZ000008052,1796
115,FZ000008053,1596
116,FZ000008054,3581
117,FZ000008055,2783
118,FZ000008056,1135
119,FZ000008057,1220
120,FZ000008058,594
121,FZ000008059,630
122,FZ000008060,1126
123,FZ000008061,3087
124,FZ000008062,702
125,FZ000008063,1307
126,FZ000008064,990
127,FZ000008065,775
128,FZ000008066,2918
129,FZ000008067,1397
130,FZ000008068,1108
131,FZ000008069,1600
132,FZ000008070,1625
133,FZ000008071,1083
134,FZ000008072,1063
135,FZ000008073,235
136,FZ000008074,3196
137,FZ000008075,1011
138,FZ000008076,1283
139,FZ000008077,1454
140,FZ000008078,5820
141,FZ000008079,2185
142,FZ000008080,1060
143,FZ000008081,1156
144,FZ000008082,755
145,FZ000008083,1060
146,FZ000008084,2181
147,FZ000008085,1611
148,FZ000008086,787
149,FZ000008087,2153
150,FZ000008088,4449
151,FZ000008089,3219
152,FZ000008090,810
153,FZ000008091,1318
154,FZ000008092,1558
155,FZ000008093,518
156,FZ000008094,2688
157,FZ000008095,655
158,FZ000008096,2454
159,FZ000008097,1144
160,FZ000008098,1977
161,FZ000008099,661
162,FZ000008100,673
163,FZ000008101,1562
164,FZ000008102,1232
165,FZ000008103,949
166,FZ000008104,1116
167,FZ000008105,1066
168,FZ000008106,1715
169,FZ000008107,1725
170,FZ000008108,1169
171,FZ000008109,2079
172,FZ000008110,1405
173,FZ000008111,1868
174,FZ000008112,1912
175,FZ000008113,955
176,FZ000008114,1409
177,FZ000008115,955
178,FZ000008116,1392
179,FZ000008117,1947
180,FZ000008118,1424
181,FZ000008119,620
182,FZ000008120,517
183,FZ000008121,1535
184,FZ000008122,645
185,FZ000008123,527
186,FZ000008124,600
187,FZ000008125,901
188,FZ000008126,2400
189,FZ000008127,663
190,FZ000008128,1357
191,FZ000008129,514
192,FZ000008130,109
193,FZ000008131,1101
194,FZ000008132,1059
195,FZ000008133,54
196,FZ000008134,621
197,FZ000008135,653
198,FZ000008136,702
199,FZ000008137,568
200,FZ000008138,199
201,FZ000008139,323
202,FZ000008140,192
203,FZ000008141,59
204,FZ000008142,657
205,FZ000008143,75
206,FZ000008144,934
207,FZ000008145,954
208,FZ000008146,329
209,FZ000008147,868
210,FZ000008148,581
211,FZ000008149,385
212,FZ000008150,140
213,FZ000008151,574
214,FZ000008152,95
215,FZ000008153,183
216,FZ000008154,635
217,FZ000008155,345
218,FZ000008156,784
219,FZ000008157,2146
220,FZ000008158,435
221,FZ000008159,1101
222,FZ000008160,878
223,FZ000008161,111
224,FZ000008162,269
225,FZ000008163,1523
226,FZ000008164,3477
227,FZ000008165,255
228,FZ000008166,222
229,FZ000008167,269
,,308498
